Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","107","Côte d'Ivoire","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","8","*","Chiffre non officiel"
"TA","Animaux vivants","98","Croatie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2422","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","5765","","Donnée officielle"
"TA","Animaux vivants","49","Cuba","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","49","Cuba","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","54","Danemark","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","4378","","Donnée officielle"
"TA","Animaux vivants","54","Danemark","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","47796","","Donnée officielle"
"TA","Animaux vivants","72","Djibouti","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","55","Dominique","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","98","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","59","Égypte","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","64","*","Chiffre non officiel"
"TA","Animaux vivants","59","Égypte","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","12","*","Chiffre non officiel"
"TA","Animaux vivants","60","El Salvador","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","3378","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","14310","","Donnée officielle"
"TA","Animaux vivants","225","Émirats arabes unis","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1240","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","225","Émirats arabes unis","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","934","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","58","Équateur","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2824","","Donnée officielle"
"TA","Animaux vivants","58","Équateur","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","178","Érythrée","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","203","Espagne","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","59102","","Donnée officielle"
"TA","Animaux vivants","203","Espagne","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","18555","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","432","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","310","","Donnée officielle"
"TA","Animaux vivants","209","Eswatini","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2521","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","209","Eswatini","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","*","Chiffre non officiel"
"TA","Animaux vivants","231","États-Unis d'Amérique","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5350","","Donnée officielle"
"TA","Animaux vivants","231","États-Unis d'Amérique","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","87015","","Donnée officielle"
"TA","Animaux vivants","238","Éthiopie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","70","*","Chiffre non officiel"
"TA","Animaux vivants","238","Éthiopie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","62","Éthiopie RDP","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","62","Éthiopie RDP","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","185","Fédération de Russie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","13840","","Donnée officielle"
"TA","Animaux vivants","185","Fédération de Russie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","6173","","Donnée officielle"
"TA","Animaux vivants","66","Fidji","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","3","","Donnée officielle"
"TA","Animaux vivants","66","Fidji","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","67","Finlande","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","80","","Donnée officielle"
"TA","Animaux vivants","67","Finlande","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","1296","","Donnée officielle"
"TA","Animaux vivants","68","France","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","18100","","Donnée officielle"
"TA","Animaux vivants","68","France","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","87395","","Donnée officielle"
"TA","Animaux vivants","74","Gabon","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","381","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","75","Gambie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","10","","Donnée officielle"
"TA","Animaux vivants","75","Gambie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","73","Géorgie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1192","","Donnée officielle"
"TA","Animaux vivants","73","Géorgie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","*","Chiffre non officiel"
"TA","Animaux vivants","81","Ghana","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","7588","","Donnée officielle"
"TA","Animaux vivants","81","Ghana","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","*","Chiffre non officiel"
"TA","Animaux vivants","84","Grèce","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5294","","Donnée officielle"
"TA","Animaux vivants","84","Grèce","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","4000","","Donnée officielle"
"TA","Animaux vivants","86","Grenade","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","358","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","86","Grenade","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","88","Guam","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","88","Guam","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","89","Guatemala","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","15068","","Donnée officielle"
"TA","Animaux vivants","89","Guatemala","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","2613","","Donnée officielle"
"TA","Animaux vivants","90","Guinée","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","701","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","90","Guinée","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","175","Guinée-Bissau","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","14","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","91","Guyana","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","36","","Donnée officielle"
"TA","Animaux vivants","91","Guyana","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","93","Haïti","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1857","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","95","Honduras","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1395","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","95","Honduras","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","454","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","97","Hongrie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","18116","","Donnée officielle"
"TA","Animaux vivants","97","Hongrie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","70031","","Donnée officielle"
"TA","Animaux vivants","36","Îles Caïmanes","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","47","Îles Cook","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","3","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","64","Îles Féroé","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","100","Inde","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","94","","Donnée officielle"
"TA","Animaux vivants","100","Inde","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","309","","Donnée officielle"
"TA","Animaux vivants","101","Indonésie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","12","","Donnée officielle"
"TA","Animaux vivants","101","Indonésie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","","Donnée officielle"
"TA","Animaux vivants","102","Iran (République islamique d')","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","981","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","102","Iran (République islamique d')","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","11237","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","103","Iraq","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","978","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","103","Iraq","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","104","Irlande","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","4840","","Donnée officielle"
"TA","Animaux vivants","104","Irlande","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","20271","","Donnée officielle"
"TA","Animaux vivants","99","Islande","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","105","Israël","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","312","*","Chiffre non officiel"
"TA","Animaux vivants","105","Israël","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","*","Chiffre non officiel"
"TA","Animaux vivants","106","Italie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","9241","","Donnée officielle"
"TA","Animaux vivants","106","Italie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","12435","","Donnée officielle"
"TA","Animaux vivants","109","Jamaïque","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","6","*","Chiffre non officiel"
"TA","Animaux vivants","109","Jamaïque","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","2","*","Chiffre non officiel"
"TA","Animaux vivants","110","Japon","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","557","","Donnée officielle"
"TA","Animaux vivants","110","Japon","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","112","Jordanie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","942","*","Chiffre non officiel"
